"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"11","Bcell","P1_2020Oct, P3_2023Jan","2","CD95","28","ARID3A,ASCL2,E2F1,E2F6,EGR1,EHF,ESRRA,ETV6,FOXO3,GATA3,GMEB1,GTF2I,HES1,HOXA1,HSF2,KLF5,MEIS1,MITF,NFATC1,RXRG,SIX5,SPI1,SRF,TCF21,TFAP2A,ZBTB7B,ZNF143,ZNF263"
"12","Bcell","P1_2020Oct, P3_2023Jan","2","HLA.DR","71","ARNTL,ATF1,BACH2,BARX2,CEBPD,E2F1,E2F3,EGR2,EHF,ELF1,ELK1,ELK4,ESR2,ETS2,ETV4,ETV7,FOSL1,FOSL2,FOXH1,FOXM1,FOXP2,GATA2,GATA3,GATA4,GFI1B,GLIS1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HINFP,HNF1B,HNF4G,HOXA1,JUNB,KLF1,KMT2A,MAFF,MEF2A,MYC,NANOG,NFIC,NFYA,NR2C2,NR5A2,NRF1,PGR,POU2F2,PRDM1,RARG,RBPJ,RUNX2,RUNX3,RXRG,SETDB1,SNAI2,SP1,SPIB,SRF,STAT2,STAT4,STAT5B,TAL1,TBP,TFAP2C,TFAP4,THAP1,USF2,VDR,ZBTB33"
"13","Bcell","P1_2020Oct, P3_2023Jan","2","CD66b","69","ASCL2,ATF1,ATF3,BACH2,BATF,BCL6,CDX2,CEBPD,CLOCK,E2F1,E2F2,E2F3,EBF1,EGR2,EHF,ELK1,ELK3,FOSL1,FOSL2,FOXH1,FOXM1,FOXO3,FOXP2,FOXP3,GATA2,GATA4,GFI1B,GLIS1,GMEB1,GMEB2,HES1,HNF1B,HNF4G,HOXA1,HOXC6,JUNB,KLF4,KMT2A,LHX2,MEF2A,MITF,MYC,NANOG,NFE2,NFIC,NR2C2,NR2F2,NR5A2,NRF1,PAX6,PGR,PRDM1,RXRG,SETDB1,SP1,SPI1,STAT2,STAT4,STAT5B,STAT6,TAL1,TEAD4,TFAP2A,USF1,USF2,ZBTB7A,ZFX,ZKSCAN1,ZNF143"
"14","Bcell","P1_2020Oct, P3_2023Jan","2","CD69","9","ASCL2,ESRRA,FOXO3,GMEB1,MEIS1,MYB,MYC,SPI1,TFAP2A"
"15","Bcell","P1_2020Oct, P3_2023Jan","2","CD15","64","ATF1,ATF3,BACH2,BCL6,CDX2,CEBPD,CLOCK,E2F1,E2F2,E2F3,EBF1,EGR2,EHF,ELF1,ELK1,ELK3,ETV4,FOSL1,FOSL2,FOXH1,FOXM1,FOXP2,FOXP3,GATA2,GATA4,GFI1B,GLIS1,GMEB2,HES1,HNF1B,HNF4G,HOXA1,HOXC6,JUNB,KLF4,KMT2A,LHX2,MEF2A,MYC,NANOG,NFE2,NFIC,NR2C2,NR5A2,NRF1,PAX6,PGR,PRDM1,RUNX3,SETDB1,SP1,SPI1,STAT2,STAT4,STAT5B,STAT6,TAL1,TFAP2A,USF1,USF2,ZBTB7A,ZFX,ZKSCAN1,ZNF143"
"16","Bcell","P1_2020Oct, P3_2023Jan","2","CD56","15","ATF1,ATF3,EHF,ELF1,ETV7,FOSL1,FOXH1,FOXM1,GATA4,HNF4G,HOXA1,MEIS1,MYC,SPIB,VDR"
"17","Bcell","P1_2020Oct, P3_2023Jan","2","CD185","23","CEBPA,E2F2,E2F8,FOXP1,GATA3,GMEB1,GTF2I,HIF1A,HINFP,HSF2,KLF10,MAFK,MITF,NR2C2,NR2F2,PPARG,RBPJ,SIX5,SNAI2,STAT2,STAT5A,ZEB1,ZKSCAN1"
"18","Bcell","P1_2020Oct, P3_2023Jan","2","CD62L","6","CEBPA,E2F7,KLF10,RUNX1,SPI1,STAT5A"
"19","Bcell","P1_2020Oct, P3_2023Jan","2","CD39","18","E2F3,ELK1,ETV4,FOS,FOXO3,GATA3,GMEB1,GTF2I,JUNB,MAFF,MEF2A,NRF1,SETDB1,SRF,TFAP2C,TFAP4,USF1,USF2"
"20","Bcell","P1_2020Oct, P3_2023Jan","2","CD273","5","E2F6,FOXP3,GMEB1,NFE2,TCF21"
"21","Bcell","P1_2020Oct, P3_2023Jan","2","CD4","17","E2F6,ETV4,ETV6,FOXO3,GATA3,GMEB1,GTF2I,MAF,MAFF,NFAT5,REST,RUNX1,SNAI2,SRF,TCF21,USF1,ZEB1"
"22","Bcell","P1_2020Oct, P3_2023Jan","2","CD1c","4","E2F8,HIF1A,NR2F2,PPARG"
"23","Bcell","P1_2020Oct, P3_2023Jan","2","CD81","10","ELK1,ETV4,FOXO3,GMEB1,HSF2,KMT2A,MAF,MAFF,NR5A2,SRF"
"24","Bcell","P1_2020Oct, P3_2023Jan","2","CD195","10","ETV4,FOXO3,GMEB1,MAF,MAFF,RUNX1,SRF,TCF4,ZEB1,ZNF76"
"25","Bcell","P1_2020Oct, P3_2023Jan","2","CD161","1","GATA2"
"26","Bcell","P1_2020Oct, P3_2023Jan","2","CD134","1","ZFX"
"27","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD69","21","ARID3A,E2F6,EGR1,EPAS1,FOSL2,FOXA1,FOXK1,FOXP3,GRHL2,GTF2I,KLF3,MEF2A,MEF2C,NR3C1,PBX3,SETDB1,TCF21,TCF4,ZBTB7A,ZEB1,ZNF143"
"28","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD27","18","ARNT,BARX2,E2F6,E2F8,FOSL2,FOXA2,FOXK1,GATA2,HNF4A,MYB,NRF1,RBPJ,SP2,TCF12,TCF21,TCF7L2,TFDP1,USF1"
"29","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD62L","16","ARNT,BCL11A,E2F8,ETS2,FOSL2,FOXK1,FOXP3,HNF4A,HSF1,IRF1,KLF10,SP2,TFDP1,USF1,ZBTB33,ZNF76"
"30","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD127","25","ATF1,ATF2,E2F2,E2F7,ESR1,FOXD2,FOXP2,GATA1,GTF2I,HOXA1,HSF2,LHX2,MECOM,MXI1,NR2C2,PRDM1,RARA,SP4,SPDEF,TBX21,TCF3,TEAD4,TFAP2A,USF1,ZFX"
"31","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD38","46","ATF1,BACH2,BARX2,CEBPA,E2F8,ELK1,EPAS1,ESR1,ESR2,FOXD2,FOXM1,FOXP2,GTF2I,HNF4G,HOXB13,HOXC6,IRF1,IRF4,JUN,KLF1,KLF10,KLF3,MBD2,MXI1,MYB,NANOG,NFATC1,NKX2-1,NR2C2,NR2F2,PAX5,POU2F1,POU2F2,SPDEF,SREBF1,STAT2,STAT3,TBX21,TCF7L2,TEAD4,THAP1,TP73,VDR,VEZF1,ZNF263,ZNF76"
"32","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD28","54","BCL11A,BCL6,BHLHE40,CEBPA,CEBPD,CLOCK,E2F2,E2F4,E2F8,EHF,ELK1,ESR2,ETV1,FOSL1,FOSL2,FOXA1,FOXA2,FOXH1,FOXP2,GTF2I,HES1,HNF4A,IKZF1,IRF1,IRF4,KLF1,KLF10,KLF3,MAF,MAX,MBD2,MEF2A,MITF,MYB,MYBL2,NFATC1,NKX2-1,NR2C2,POU2F2,PPARG,RARG,REST,RUNX1,RUNX2,RXRG,SP2,SP4,STAT3,TBX21,TEAD4,TFDP1,THAP1,VDR,ZNF76"
"33","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD4","3","CEBPA,GATA4,KLF10"
"34","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD195","23","E2F2,E2F4,E2F8,EGR1,FOXA1,FOXP1,GATA1,GMEB1,HES1,IKZF1,IRF4,KLF10,MAX,MEF2A,MEIS1,NR3C1,POU2F1,RFX5,SRF,STAT2,STAT3,ZBTB7A,ZEB1"
"35","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD279","22","ESR1,ETV6,FOXP2,GATA3,HNF4G,HOXC6,JUN,KLF1,KLF3,MYB,MYC,NKX2-1,POU2F1,RARA,SPDEF,TBX21,TFAP2C,TP73,VDR,VEZF1,ZFX,ZKSCAN1"
"36","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","15","FOXA2,FOXP2,GTF2I,HES1,HNF4A,HNF4G,KLF1,MYB,REST,STAT2,TBX21,TEAD4,TP73,VDR,ZNF76"
"37","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD366","1","GATA3"
"38","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","4","GATA3,HOXB13,MYC,USF1"
"39","CD4Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD314","1","IRF2"
"40","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD95","2","AHR,PBX1"
"41","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD38","28","ARNT,BACH2,CEBPB,E2F3,EBF1,ELK1,ETV1,GTF2I,HES1,HIF1A,HNF1B,HOXA1,HSF1,MEF2C,MYB,NFYA,PAX6,RELA,RFX2,RFX5,SNAI2,SPIB,STAT3,STAT5B,TCF3,USF2,YY1,ZNF76"
"42","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD279","16","ATF3,BACH2,ESR1,KLF3,LHX2,MAFF,MAFK,NANOG,NFAT5,NRF1,RELA,REST,SPDEF,TAL1,XBP1,YY1"
"43","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD27","5","BARX2,FOSL1,MNT,TFAP4,ZBTB7B"
"44","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","2","BATF,STAT5A"
"45","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD314","4","E2F3,RFX5,TEAD4,ZNF384"
"46","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD103","2","EHF,ZKSCAN1"
"47","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD28","10","GTF2B,HES1,HNF1B,IRF1,JUND,NFYB,PRDM1,RARA,RELA,XBP1"
"48","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD69","3","MYC,SP2,ZBTB7A"
"49","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD195","1","MZF1"
"50","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD45RA","1","MZF1"
"51","CD8Tcell","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","1","SPIB"
"52","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","17","AHR,ASCL2,ATF3,BARX2,E2F1,E2F6,FOXD2,GATA3,HNF4A,HSF2,IRF1,NFYA,SRF,STAT1,TEAD4,TP73,YY1"
"53","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD141","24","AR,BCL6,CEBPD,CLOCK,ESR1,FOXA2,GLIS1,GTF2B,HINFP,HOXA1,MAFK,MEF2A,MXI1,NANOG,NRF1,PAX6,RARA,SMAD3,SREBF1,STAT5A,TCF12,TCF3,TCF4,ZBTB7B"
"54","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD14","31","ARNT,ASCL2,E2F1,ESR2,ESRRA,ETV5,FOXO3,FOXP2,GATA3,GRHL2,HNF4A,IRF1,IRF3,KLF1,MAX,MNT,MYBL2,NFAT5,NFE2,NFYA,PPARG,RXRG,SIX5,STAT1,STAT4,TEAD4,TFAP2A,VDR,ZNF143,ZNF384,ZNF76"
"55","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD40","7","ASCL2,KLF9,MXI1,PPARG,RUNX1,STAT1,TFDP1"
"56","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11c","2","ATF3,CDX2"
"57","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11b","7","BARX2,ETV1,HSF2,IRF1,SP4,STAT2,VDR"
"58","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD195","14","BARX2,CDX2,CEBPA,E2F6,EGR1,ESRRA,IRF1,KLF9,MXI1,RXRG,SOX17,SP4,SRF,TFAP2A"
"59","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD1c","20","BCL6,E2F8,ELK4,GATA1,HIF1A,HNF1B,JUN,JUND,MEIS1,MYBL2,NFAT5,PRDM1,REST,RUNX3,SOX17,STAT3,TCF7L2,TP73,ZBTB7B,ZNF384"
"60","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD304","8","BCL6,E2F2,EBF1,IRF1,LHX2,NFAT5,PPARG,SPI1"
"61","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD274","3","CEBPB,IRF1,NFYA"
"62","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","6","E2F4,FOXA2,HOXB13,MEIS1,RARA,SMAD3"
"63","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD95","9","E2F6,ELK1,ESRRA,FOXH1,HOXA4,KLF9,MNT,RUNX3,SP4"
"64","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD366","2","ELK1,RUNX3"
"65","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD81","7","IRF1,MNT,MYBL2,NFYA,PAX6,PPARG,VDR"
"66","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD107a","2","LHX2,MAFK"
"67","cDC","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD206","1","SOX17"
"120","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD304","40","AHR,CTCF,E2F1,E2F2,E2F3,E2F7,E2F8,ELK4,ETV5,FOSL2,FOXA2,FOXM1,GATA1,HIF1A,IRF1,IRF3,JUND,KLF10,MECOM,MYB,NFIC,NFYA,NFYB,NKX2-1,NR2F2,PBX1,PBX3,POU2F1,POU2F2,RUNX2,SIX5,SMAD3,SP1,SRF,STAT5B,TEAD4,TFAP2A,TP73,ZBTB33,ZNF76"
"121","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD81","87","AR,ARID3A,ARNTL,ATF2,BCL6,CDX2,CEBPA,CEBPB,CTCF,E2F4,E2F6,EGR1,EGR2,ELF1,ELK1,EPAS1,ESRRA,ETV4,ETV6,FOSL1,FOXD2,FOXK1,FOXM1,FOXP2,FOXP3,GATA1,GATA2,GATA3,GLIS1,GMEB2,GRHL2,GTF2B,HES1,HEY1,HNF1B,HNF4G,HOXA4,HOXB13,HSF1,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,LHX2,MAFK,MAX,MEF2A,MEF2C,MXI1,MYB,MYC,NANOG,NFATC1,NFIC,POU2F1,POU2F2,RARA,RARG,RELA,REST,RUNX2,RXRG,SP1,SP2,SP4,SREBF1,SRF,STAT2,STAT3,STAT5A,TAL1,TBP,TBX21,TCF12,TCF3,TEAD4,TFAP2A,TFDP1,THAP1,TP73,USF1,USF2,VDR,YY1,ZNF263"
"122","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD95","82","ARID3A,ARNTL,BATF,BCL11A,BCL6,CEBPA,CEBPB,CTCF,E2F1,E2F4,E2F6,EBF1,ELF1,ELK1,ELK4,ETS2,ETV4,FOSL1,FOSL2,FOXD2,FOXH1,FOXK1,FOXP2,FOXP3,GATA1,GATA2,GATA3,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,HES1,HNF1B,HOXB13,IRF1,IRF2,JUN,KLF10,KLF4,KLF9,LHX2,MAFK,MAX,MECOM,MEIS1,MXI1,MYC,NFATC1,NFIC,NFYB,NKX2-1,NR2C2,NR2F2,NRF1,PBX3,POU2F2,RELA,REST,RFX2,RUNX2,RXRG,SETDB1,SP2,SP4,SPI1,SREBF1,STAT1,STAT2,STAT3,STAT5A,TAL1,TBX21,TCF12,TEAD4,TFAP2A,THAP1,USF2,VEZF1,ZBTB33,ZNF263,ZNF384"
"123","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD56","22","ATF2,BARX2,BHLHE40,E2F6,ESR1,ETS2,ETV6,ETV7,IRF1,IRF3,MAFF,MYC,NFYB,NR2F2,PGR,RUNX1,SP4,STAT1,TBP,TCF4,ZBTB33,ZNF143"
"124","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD223","6","ATF3,ELK4,MAFK,NKX2-1,SETDB1,SPI1"
"125","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD133","4","BATF,E2F7,FOSL1,GATA2"
"126","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD195","3","E2F6,HES1,JUN"
"127","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD273","13","E2F6,ELF1,GMEB2,HES1,IRF2,MAFK,MXI1,NFATC1,SREBF1,STAT2,STAT5A,TAL1,ZNF263"
"128","Fibroblast","P1_2020Oct, P3_2023Jan","2","HLA.DR","2","E2F6,KLF9"
"129","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD107a","21","E2F6,EBF1,ELF1,ELK1,FOXH1,GMEB2,HES1,HOXA1,IRF2,KLF9,MEF2C,NFATC1,NR2F2,NRF1,POU2F2,PRDM1,STAT3,STAT5A,TBX21,TP63,ZNF263"
"130","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD45RA","2","EBF1,TFAP2A"
"131","Fibroblast","P1_2020Oct, P3_2023Jan","2","KLRG1","4","EGR1,GATA1,TCF3,USF1"
"132","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD40","2","ELF1,MAFK"
"133","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD103","7","ESR1,ESR2,MITF,NR3C1,PRDM1,SIX5,SRF"
"134","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD117","5","ETV1,PRDM1,SPI1,TCF7L2,TFAP2C"
"135","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD197","1","FOSL2"
"136","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD274","2","FOSL2,SIX5"
"137","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD141","2","GATA4,STAT4"
"138","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD66b","2","GATA4,MEF2A"
"139","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD25","4","GLI2,GMEB1,MEF2C,TFAP2C"
"140","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD14","4","KLF9,MAFK,RUNX2,STAT5A"
"141","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD1c","1","MNT"
"142","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD28","1","NFYA"
"143","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD314","3","PBX3,RBPJ,TBX21"
"144","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD127","2","PRDM1,TCF3"
"145","Fibroblast","P1_2020Oct, P3_2023Jan","2","TIGIT","1","PRDM1"
"146","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD62L","1","SPI1"
"147","Fibroblast","P1_2020Oct, P3_2023Jan","2","CD185","1","TCF4"
"148","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD66b","30","AHR,BATF,CEBPD,E2F7,E2F8,EGR2,ELF1,ETV1,ETV6,ETV7,GATA1,HES1,HNF4A,HOXB13,IRF4,MECOM,MEF2A,MEF2C,MEIS1,MXI1,RBPJ,RELA,SIX5,SMAD3,SP4,STAT2,TBX21,TFAP2A,ZBTB33,ZNF143"
"149","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD107a","39","AHR,BACH1,BACH2,ELF1,ELK3,ESR1,ESR2,ETV1,ETV6,FOXO3,GATA3,GLI2,HNF4A,HNF4G,HOXB13,HSF2,IRF1,IRF2,JUN,JUND,KMT2A,MAFK,MAX,MEF2C,MEIS1,MYBL2,PAX5,PAX6,PBX1,RFX2,SIX5,STAT5A,TBX21,TCF12,TFAP2A,TFAP4,TP63,VDR,ZBTB33"
"150","LungEpithelium","P1_2020Oct, P3_2023Jan","2","HLA.DR","52","ARNTL,ATF2,BACH1,BACH2,BATF,BHLHE40,CDX2,E2F3,E2F8,ELK1,ESR1,ESR2,FOSL1,FOXO3,FOXP2,GATA2,GLI2,GMEB1,GTF2B,HNF4G,HSF2,IRF2,JUN,JUND,KLF1,KMT2A,MAX,MEF2C,MEIS1,MNT,MYB,NFAT5,NRF1,RUNX1,RUNX2,RXRA,SETDB1,SMAD3,SP1,SREBF1,STAT1,STAT3,TBX21,TCF12,TCF4,TCF7L2,TFAP2A,THAP1,TP73,USF1,YY1,ZKSCAN1"
"151","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD81","38","ARNTL,ATF2,BHLHE40,CDX2,E2F2,E2F3,E2F8,ELK1,ESR1,ESR2,FOXH1,FOXO3,FOXP2,GATA2,GLI2,GTF2B,HNF4G,HOXA4,IRF2,JUN,JUND,KMT2A,MECOM,MEF2A,MEF2C,MEIS1,NFAT5,NFYA,PAX6,RBPJ,RUNX1,SOX17,SP1,STAT3,TCF3,TFAP2A,YY1,ZKSCAN1"
"152","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD11b","1","ATF1"
"153","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD11c","2","ATF1,MXI1"
"154","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD273","5","ATF1,E2F6,GATA1,GLIS1,MYC"
"155","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD161","4","ATF2,FOXP1,RARA,SIX5"
"156","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD40","6","ATF2,HSF1,RBPJ,SIX5,STAT1,TFAP2A"
"157","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD38","15","ATF3,BACH2,CEBPA,FOXP3,KMT2A,MEIS1,MITF,NR2C2,RARG,SNAI2,TCF12,TCF7L2,USF2,ZKSCAN1,ZNF263"
"158","LungEpithelium","P1_2020Oct, P3_2023Jan","2","CD56","2","BACH2,MEIS1"
